Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
BOX.JO,Boxer Retail Limited,Consumer Cyclical,R69.83,17.0,1631.0,1.0,13.0,4.0,0.0553,0.0024,0.010700000000000001,0.13724462809917357,0.6451612903225806,0.7741935483870966,0.2701612903225806,0.532258064516129,0.43548387096774194,0.7177419354838709,0.4919354838709677,0.34677419354838707,0.6612903225806451,0.5314516129032258,0.5544354838709676,77,53
CFR.JO,Compagnie Fin Richemont,Consumer Cyclical,"R3,380.00",26.0,8992.0,90.0,383.0,139.0,0.0911,0.0104,0.0336,0.2577,0.8669354838709676,0.9677419354838709,0.9032258064516128,0.9677419354838709,0.8709677419354839,0.8629032258064515,0.5403225806451613,0.37903225806451607,0.7983870967741935,0.9153225806451613,0.6451612903225805,124,41
CSB.JO,Cashbuild Ltd,Consumer Cyclical,R140.20,14.0,154.0,0.0,5.0,1.0,-0.033,-0.06509999999999999,-0.10339999999999999,-0.1316,0.5524193548387096,0.37903225806451607,0.0564516129032258,0.16532258064516128,0.07258064516129031,0.1693548387096774,0.25806451612903225,0.13709677419354838,0.23387096774193547,0.2451612903225806,0.19959677419354838,16,109
ITE.JO,Italtile Ltd,Consumer Cyclical,R9.50,8.0,140.0,1.0,4.0,3.0,-0.1235,-0.0518,-0.0767,-0.2521,0.2258064516129032,0.33467741935483875,0.2701612903225806,0.10080645161290322,0.3225806451612903,0.03225806451612903,0.31451612903225806,0.1854838709677419,0.1129032258064516,0.25080645161290327,0.16129032258064516,18,114
MRP.JO,Mr Price Group Ltd,Consumer Cyclical,R207.73,15.0,399.0,1.0,10.0,3.0,0.025,-0.0414,-0.0533,-0.2332,0.592741935483871,0.6209677419354839,0.2701612903225806,0.41532258064516125,0.3225806451612903,0.5161290322580645,0.37903225806451607,0.2258064516129032,0.1532258064516129,0.4443548387096774,0.3185483870967742,57,90
MTH.JO,Motus Holdings Ltd,Consumer Cyclical,R105.20,7.0,93.0,0.0,6.0,5.0,0.0334,0.0791,0.2404,-0.11960000000000001,0.13709677419354838,0.1975806451612903,0.0564516129032258,0.21774193548387097,0.5,0.6209677419354839,0.7580645161290321,0.8145161290322581,0.25,0.2217741935483871,0.6108870967741935,14,42
NPN.JO,Naspers Ltd -N-,Consumer Cyclical,"R1,305.67",3.0,4772.0,142.0,4190.0,375.0,0.1534,0.19649999999999998,0.3934,0.5408,0.03225806451612903,0.9274193548387096,0.9596774193548387,0.9919354838709676,0.9919354838709676,0.9032258064516128,0.8709677419354839,0.9032258064516128,0.8709677419354839,0.7806451612903225,0.8870967741935483,101,10
PIK.JO,Pick n Pay Stores Ltd,Consumer Cyclical,R25.30,22.97345132743363,181.0,0.0,11.0,1.0,-0.0546,-0.08199999999999999,-0.0739,-0.038,0.7580645161290321,0.43548387096774194,0.0564516129032258,0.45967741935483863,0.07258064516129031,0.12096774193548386,0.19354838709677416,0.19354838709677416,0.3709677419354838,0.35645161290322575,0.219758064516129,34,107
PPH.JO,Pepkor Holdings Ltd,Consumer Cyclical,R24.78,35.0,150.0,1.0,10.0,3.0,0.0016,-0.1128,-0.0313,0.0271,0.9274193548387096,0.3709677419354838,0.2701612903225806,0.41532258064516125,0.3225806451612903,0.33064516129032256,0.13709677419354838,0.25,0.4798387096774194,0.4612903225806451,0.2993951612903226,61,96
SHP.JO,Shoprite Holdings Ltd,Consumer Cyclical,R279.63,0.0,501.0,1.0,11.0,3.0,0.0217,-0.0005,0.051399999999999994,-0.0407,0.008064516129032258,0.6532258064516128,0.2701612903225806,0.45967741935483863,0.3225806451612903,0.5,0.46774193548387094,0.4193548387096774,0.3548387096774194,0.3427419354838709,0.435483870967742,31,75
SSU.JO,Southern Sun Ltd,Consumer Cyclical,R8.45,11.0,122.0,2.0,7.0,3.0,-0.0197,-0.0611,0.0171,0.13,0.40725806451612906,0.2983870967741935,0.4879032258064516,0.2661290322580645,0.3225806451612903,0.24193548387096772,0.29032258064516125,0.3709677419354838,0.6290322580645161,0.35645161290322575,0.38306451612903225,34,81
SUI.JO,Sun International Ltd,Consumer Cyclical,R41.50,7.0,343.0,1.0,5.0,2.0,-0.1106,-0.1167,-0.0168,-0.087,0.13709677419354838,0.592741935483871,0.2701612903225806,0.16532258064516128,0.1693548387096774,0.04032258064516129,0.12903225806451613,0.2661290322580645,0.31451612903225806,0.26693548387096777,0.1875,21,110
TFG.JO,The Foschini Group Limited,Consumer Cyclical,R110.81,11.0,140.0,1.0,7.0,2.0,0.06559999999999999,-0.1635,-0.0859,-0.2839,0.40725806451612906,0.33467741935483875,0.2701612903225806,0.2661290322580645,0.1693548387096774,0.7620967741935484,0.04838709677419354,0.1693548387096774,0.08064516129032258,0.2895161290322581,0.26512096774193544,23,100
TSG.JO,Tsogo Sun Limited,Consumer Cyclical,R6.52,5.0,132.0,1.0,4.0,2.0,0.0268,-0.1292,-0.2613,-0.46520000000000006,0.06451612903225806,0.31451612903225806,0.2701612903225806,0.10080645161290322,0.1693548387096774,0.5403225806451613,0.10483870967741934,0.04838709677419354,0.04838709677419354,0.18387096774193548,0.1854838709677419,10,111
TRU.JO,Truworths Int Ltd,Consumer Cyclical,R56.55,8.0,198.0,1.0,8.0,2.0,0.0177,-0.21489999999999998,-0.2094,-0.4807,0.2258064516129032,0.4919354838709677,0.2701612903225806,0.31451612903225806,0.1693548387096774,0.46774193548387094,0.008064516129032258,0.06451612903225806,0.04032258064516129,0.2943548387096774,0.14516129032258063,24,117
WBC.JO,We Buy Cars Hlds Ltd,Consumer Cyclical,R55.66,25.0,851.0,1.0,17.0,16.0,0.04,-0.0754,0.34,0.9044,0.846774193548387,0.7258064516129032,0.2701612903225806,0.6330645161290323,0.721774193548387,0.6451612903225806,0.2258064516129032,0.8629032258064515,0.9274193548387096,0.639516129032258,0.6653225806451613,85,36
WHL.JO,Woolworths Holdings Ltd,Consumer Cyclical,R52.38,19.0,445.0,1.0,10.0,2.0,-0.0006,0.02,0.0121,-0.2254,0.6975806451612903,0.6370967741935484,0.2701612903225806,0.41532258064516125,0.1693548387096774,0.31451612903225806,0.5806451612903225,0.3548387096774194,0.1774193548387097,0.4379032258064515,0.35685483870967744,53,83
