Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
BAW.JO,Barloworld Ltd,Industrials,R119.72,13.0,130.0,1.0,6.0,5.0,0.0189,0.034300000000000004,0.14029999999999998,0.3926,0.5,0.3064516129032258,0.2701612903225806,0.21774193548387097,0.5,0.4758064516129032,0.6209677419354839,0.6451612903225806,0.846774193548387,0.3588709677419355,0.6471774193548386,36,40
BVT.JO,Bidvest Ltd,Industrials,R218.15,13.0,195.0,1.0,8.0,3.0,0.0043,-0.0748,-0.06480000000000001,-0.2427,0.5,0.46774193548387094,0.2701612903225806,0.31451612903225806,0.3225806451612903,0.3548387096774194,0.23387096774193547,0.2096774193548387,0.12903225806451613,0.37499999999999994,0.2318548387096774,40,105
GND.JO,Grindrod Ltd,Industrials,R15.38,8.0,103.0,2.0,15.0,10.0,0.0115,0.2918,0.3298,0.0432,0.2258064516129032,0.25806451612903225,0.4879032258064516,0.6008064516129032,0.596774193548387,0.4193548387096774,0.9274193548387096,0.8548387096774194,0.5161290322580645,0.4338709677419354,0.6794354838709677,52,32
HCI.JO,Hosken Cons Inv Ltd,Industrials,R129.94,2.0,43.0,0.0,7.0,7.0,0.08470000000000001,-0.0788,-0.0317,-0.2752,0.016129032258064516,0.02419354838709677,0.0564516129032258,0.2661290322580645,0.5403225806451613,0.8306451612903225,0.2096774193548387,0.24193548387096772,0.10483870967741934,0.18064516129032254,0.34677419354838707,8,87
HDC.JO,Hudaco Industries Ltd,Industrials,R189.87,10.0,156.0,1.0,7.0,2.0,0.061,-0.0182,0.0155,-0.0044,0.3508064516129032,0.3870967741935483,0.2701612903225806,0.2661290322580645,0.1693548387096774,0.7379032258064515,0.4193548387096774,0.3629032258064516,0.4193548387096774,0.2887096774193548,0.4848790322580645,22,65
KAP.JO,KAP Limited,Industrials,R1.62,22.97345132743363,33.0,0.0,4.0,2.0,-0.129,-0.1518,-0.3721,-0.5249,0.7580645161290321,0.008064516129032258,0.0564516129032258,0.10080645161290322,0.1693548387096774,0.02419354838709677,0.06451612903225806,0.02419354838709677,0.016129032258064516,0.21854838709677415,0.03225806451612903,12,123
OMN.JO,Omnia Holdings Ltd,Industrials,R74.13,11.0,111.0,1.0,5.0,2.0,0.025699999999999997,-0.0888,0.0848,0.1409,0.40725806451612906,0.27419354838709675,0.2701612903225806,0.16532258064516128,0.1693548387096774,0.5241935483870968,0.1774193548387097,0.48387096774193544,0.6854838709677419,0.25725806451612904,0.467741935483871,19,71
RBX.JO,Raubex Group Ltd,Industrials,R42.15,7.0,115.0,0.0,4.0,3.0,-0.02,-0.06849999999999999,-0.0554,-0.19329999999999997,0.13709677419354838,0.2862903225806452,0.0564516129032258,0.10080645161290322,0.3225806451612903,0.23387096774193547,0.24193548387096772,0.21774193548387097,0.19354838709677416,0.1806451612903226,0.22177419354838707,9,106
RLO.JO,Reunert Ltd,Industrials,R55.55,10.0,115.0,1.0,5.0,2.0,0.031,-0.0066,-0.0966,-0.3096,0.3508064516129032,0.2862903225806452,0.2701612903225806,0.16532258064516128,0.1693548387096774,0.6048387096774193,0.4435483870967742,0.1532258064516129,0.07258064516129031,0.24838709677419354,0.3185483870967742,17,90
SPG.JO,Super Group Ltd,Industrials,R13.54,8.0,36.0,0.0,3.0,3.0,-0.048499999999999995,-0.1381,-0.49979999999999997,-0.428,0.2258064516129032,0.016129032258064516,0.0564516129032258,0.0564516129032258,0.3225806451612903,0.14516129032258063,0.09677419354838708,0.008064516129032258,0.0564516129032258,0.13548387096774192,0.07661290322580644,3,120
