Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
ATT.JO,Attacq Limited,Real Estate,R14.87,7.0,72.0,4.0,12.0,11.0,0.0435,0.028399999999999998,0.1699,0.16699999999999998,0.13709677419354838,0.10080645161290322,0.6814516129032258,0.4959677419354838,0.6249999999999999,0.657258064516129,0.596774193548387,0.7096774193548387,0.7177419354838709,0.4080645161290322,0.6703629032258064,46,33
BTN.JO,Burstone Group Limited,Real Estate,R8.19,22.97345132743363,69.0,3.0,14.0,11.0,0.0037,0.0,-0.0043,-0.1487,0.7580645161290321,0.08870967741935484,0.6008064516129032,0.5685483870967741,0.6249999999999999,0.34274193548387094,0.4758064516129032,0.2983870967741935,0.2258064516129032,0.5282258064516129,0.3356854838709677,76,89
EMI.JO,Emira Property Fund Ltd,Real Estate,R12.82,3.0,62.0,3.0,11.0,10.0,0.09759999999999999,0.1655,0.2334,0.2051,0.03225806451612903,0.06451612903225806,0.6008064516129032,0.45967741935483863,0.596774193548387,0.879032258064516,0.8629032258064515,0.7983870967741935,0.7741935483870966,0.3508064516129032,0.8286290322580644,32,15
EQU.JO,Equites Prop Fund Ltd,Real Estate,R16.69,15.0,101.0,3.0,15.0,14.0,0.016399999999999998,0.0604,0.1884,0.1649,0.592741935483871,0.25,0.6008064516129032,0.6008064516129032,0.6975806451612903,0.45967741935483863,0.7016129032258064,0.7419354838709676,0.7096774193548387,0.5483870967741936,0.6532258064516128,80,39
FTB.JO,Fairvest Limited B,Real Estate,R5.72,3.0,108.0,5.0,12.0,11.0,0.0362,0.09369999999999999,0.2175,0.2865,0.03225806451612903,0.2661290322580645,0.721774193548387,0.4959677419354838,0.6249999999999999,0.6290322580645161,0.7983870967741935,0.782258064516129,0.8225806451612903,0.4282258064516128,0.7580645161290323,49,21
FFB.JO,Fortress Real Est Inv B,Real Estate,R23.40,11.0,93.0,5.0,13.0,12.0,0.0632,0.125,0.2335,0.1507,0.40725806451612906,0.1975806451612903,0.721774193548387,0.532258064516129,0.657258064516129,0.75,0.846774193548387,0.8064516129032258,0.6935483870967741,0.5032258064516129,0.7741935483870968,70,19
GRT.JO,Growthpoint Prop Ltd,Real Estate,R15.00,9.0,75.0,4.0,15.0,13.0,0.0745,0.07139999999999999,0.16519999999999999,0.0701,0.30241935483870963,0.12903225806451613,0.6814516129032258,0.6008064516129032,0.6814516129032258,0.7903225806451613,0.7258064516129032,0.6935483870967741,0.5483870967741935,0.4790322580645161,0.689516129032258,68,31
HMN.JO,Hammerson plc,Real Estate,R68.09,24.0,1795.0,152.0,244.0,191.0,0.0709,-0.04769999999999999,0.1548,-0.0793,0.8185483870967741,0.7903225806451613,0.9758064516129032,0.846774193548387,0.9395161290322579,0.782258064516129,0.3548387096774194,0.6612903225806451,0.33064516129032256,0.8741935483870968,0.532258064516129,121,58
HYP.JO,Hyprop Inv Ltd,Real Estate,R47.98,8.0,78.0,4.0,12.0,12.0,0.061,0.0833,0.1891,0.057800000000000004,0.2258064516129032,0.13709677419354838,0.6814516129032258,0.4959677419354838,0.657258064516129,0.7379032258064515,0.7741935483870966,0.75,0.5403225806451613,0.439516129032258,0.7006048387096773,55,28
LTE.JO,Lighthouse Properties plc,Real Estate,R7.84,10.0,1802.0,118.0,294.50442477876106,179.0,-0.035699999999999996,-0.043899999999999995,-0.0163,-0.0038,0.3508064516129032,0.7983870967741935,0.9435483870967741,0.9112903225806451,0.9032258064516128,0.16129032258064516,0.3709677419354838,0.27419354838709675,0.4274193548387097,0.7814516129032258,0.3084677419354839,102,94
MSP.JO,MAS P.L.C,Real Estate,R21.65,5.0,1229.0,146.0,239.0,206.0,0.0379,-0.0636,0.1766,0.1961,0.06451612903225806,0.7419354838709676,0.9677419354838709,0.8387096774193548,0.9677419354838709,0.6370967741935484,0.27419354838709675,0.7258064516129032,0.7661290322580645,0.7161290322580645,0.6008064516129032,93,44
NRP.JO,NEPI Rockcastle N.V.,Real Estate,R139.10,8.0,1985.0,111.0,183.0,165.0,-0.031200000000000002,0.022099999999999998,0.0504,-0.0395,0.2258064516129032,0.8064516129032258,0.9354838709677419,0.8064516129032258,0.8870967741935484,0.19354838709677416,0.5887096774193548,0.41129032258064513,0.3629032258064516,0.7322580645161291,0.3891129032258064,97,80
PHP.JO,Primary Health Prop PLC,Real Estate,R21.20,13.0,2038.0,306.0,205.0,188.0,-0.0024,-0.0783,-0.0779,-0.094,0.5,0.8306451612903225,0.9919354838709676,0.8145161290322581,0.9193548387096773,0.3064516129032258,0.21774193548387097,0.1774193548387097,0.29032258064516125,0.811290322580645,0.24798387096774194,111,104
RES.JO,Resilient REIT Limited,Real Estate,R65.58,10.0,94.0,5.0,14.0,14.0,0.0271,0.0344,0.1242,0.1284,0.3508064516129032,0.2217741935483871,0.721774193548387,0.5685483870967741,0.6975806451612903,0.5564516129032258,0.6290322580645161,0.6048387096774193,0.6209677419354839,0.5120967741935484,0.6028225806451613,71,43
SAC.JO,SA Corp Real Estate Ltd,Real Estate,R3.16,13.0,72.0,3.0,11.0,9.0,0.0227,0.0032,0.1841,0.0473,0.5,0.10080645161290322,0.6008064516129032,0.45967741935483863,0.5725806451612904,0.5080645161290323,0.5080645161290323,0.7338709677419354,0.5241935483870968,0.4467741935483871,0.5685483870967742,58,49
RDF.JO,Redefine Properties Ltd,Real Estate,R5.07,8.0,64.0,3.0,13.0,12.0,0.0326,0.0787,0.2164,0.0273,0.2258064516129032,0.07258064516129031,0.6008064516129032,0.532258064516129,0.657258064516129,0.6129032258064516,0.75,0.7741935483870966,0.4919354838709677,0.417741935483871,0.6572580645161289,47,38
SHC.JO,Shaftesbury Capital plc,Real Estate,R33.16,8.0,1591.0,257.0,452.0,350.0,0.016200000000000003,-0.124,0.1082,-0.0276,0.2258064516129032,0.7661290322580645,0.9838709677419354,0.9838709677419354,0.9838709677419354,0.4516129032258064,0.1129032258064516,0.5403225806451613,0.3951612903225806,0.7887096774193548,0.375,105,82
SSS.JO,Stor-Age Prop REIT Ltd,Real Estate,R16.22,6.0,92.0,6.0,15.0,12.0,0.0259,0.0358,0.11130000000000001,0.07919999999999999,0.09677419354838708,0.1774193548387097,0.75,0.6008064516129032,0.657258064516129,0.532258064516129,0.6370967741935484,0.5725806451612904,0.5564516129032258,0.4564516129032258,0.5745967741935485,60,48
SRE.JO,Sirius Real Estate Ltd,Real Estate,R22.50,9.0,2004.0,106.0,251.0,183.0,-0.0217,-0.014499999999999999,0.1084,0.014499999999999999,0.30241935483870963,0.8145161290322581,0.9274193548387096,0.8548387096774194,0.9112903225806451,0.2258064516129032,0.43548387096774194,0.5483870967741935,0.4435483870967742,0.7620967741935484,0.4133064516129032,99,79
VKE.JO,Vukile Property Fund Ltd,Real Estate,R21.44,8.0,96.0,6.0,18.0,15.0,0.0108,0.0812,0.2097,0.17300000000000001,0.2258064516129032,0.2379032258064516,0.75,0.6451612903225806,0.7096774193548387,0.41129032258064513,0.7661290322580645,0.7580645161290321,0.7338709677419354,0.5137096774193548,0.6673387096774193,72,35
