Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return
AHR.JO,ASSURA PLC,,R11.40,,2257,,253,231,1.33%,-6.71%,0.02%,nan%
AGL.JO,Anglo American plc,Basic Materials,R650.10,,4007,26,114,51,20.00%,22.79%,27.18%,17.36%
ABG.JO,Absa Group Limited,Financial Services,R188.85,7,94,2,,2,2.12%,6.32%,8.83%,11.05%
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,R72.47,13,182,1,8,3,0.54%,41.60%,44.02%,5.06%
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Defensive,"R1,027.76",17,2488,34,114,64,-3.17%,-15.88%,-11.82%,-11.44%
AFE.JO,AECI Limited,Basic Materials,R96.12,25,87,0,5,1,-9.32%,-5.29%,0.36%,-5.19%
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,R97.20,,51,1,21,4,-4.28%,-17.69%,-41.27%,-50.14%
AVI.JO,AVI Ltd,Consumer Defensive,R98.00,14,609,2,9,5,9.46%,1.18%,10.26%,-10.02%
ADH.JO,ADvTECH Ltd,Consumer Defensive,R32.65,15,281,2,9,5,3.04%,0.01%,0.16%,2.71%
ARL.JO,Astral Foods Ltd,Consumer Defensive,R211.49,14,172,0,10,3,5.26%,20.36%,28.97%,13.75%
BAW.JO,Barloworld Ltd,Industrials,R119.72,13,130,1,6,5,1.89%,3.43%,14.03%,39.26%
AFH.JO,Alexander Forbes Grp Hldgs,Financial Services,R7.63,13,242,2,8,2,-5.80%,-10.19%,0.31%,8.93%
ANG.JO,AngloGold Ashanti plc,Basic Materials,"R1,253.16",19,8529,83,170,191,19.18%,49.76%,78.76%,165.06%
ATT.JO,Attacq Limited,Real Estate,R14.87,7,72,4,12,11,4.35%,2.84%,16.99%,16.70%
ARI.JO,African Rainbow Min Ltd,Basic Materials,R184.00,110,65,3,81,-175,-7.99%,3.85%,23.06%,-6.79%
BHG.JO,BHP Group Limited,Basic Materials,R483.76,16,5151,48,106,59,0.67%,9.35%,8.13%,-9.61%
BOX.JO,Boxer Retail Limited,Consumer Cyclical,R69.83,17,1631,1,13,4,5.53%,0.24%,1.07%,nan%
BTI.JO,British American Tob plc,Consumer Defensive,R885.60,27,4300,76,161,93,-8.46%,2.92%,16.40%,39.74%
BLU.JO,Blu Label Unlimited,Communication Services,R13.22,5,157,1,13,8,4.51%,-4.69%,72.81%,158.20%
AFT.JO,Afrimat Limited,Basic Materials,R40.60,65,142,1,8,5,7.84%,-8.52%,-31.83%,-40.53%
BTN.JO,Burstone Group Limited,Real Estate,R8.19,,69,3,14,11,0.37%,0.00%,-0.43%,-14.87%
BVT.JO,Bidvest Ltd,Industrials,R218.15,13,195,1,8,3,0.43%,-7.48%,-6.48%,-24.27%
BYI.JO,Bytes Technology Grp plc,Technology,R92.75,18,60621,102,321,135,-5.24%,4.99%,-22.15%,-20.76%
AEL.JO,Altron Limited A,Technology,R18.78,12,178,1,6,2,-1.05%,-14.95%,-7.33%,9.87%
BID.JO,BID Corporation Ltd,Consumer Defensive,R432.32,18,307,1,11,3,-1.27%,-5.12%,-5.01%,-1.92%
CFR.JO,Compagnie Fin Richemont,Consumer Cyclical,"R3,380.00",26,8992,90,383,139,9.11%,1.04%,3.36%,25.77%
CSB.JO,Cashbuild Ltd,Consumer Cyclical,R140.20,14,154,0,5,1,-3.30%,-6.51%,-10.34%,-13.16%
CLS.JO,Clicks Group Ltd,Healthcare,R353.53,28,1317,2,17,8,-3.05%,-3.65%,3.56%,-9.92%
DCP.JO,Dis-Chem Pharmacies Ltd,Healthcare,R32.94,24,541,1,13,4,1.42%,1.54%,9.26%,-13.03%
COH.JO,Curro Holdings Limited,Consumer Defensive,R11.98,300,96,1,9,4,5.00%,32.08%,37.88%,-8.88%
CML.JO,Coronation Fund Mngrs Ld,Financial Services,R45.47,7,649,4,9,4,5.60%,14.25%,16.44%,18.85%
CPI.JO,Capitec Bank Hldgs Ltd,Financial Services,"R3,476.87",26,747,10,,9,0.94%,-2.26%,16.34%,12.74%
DRD.JO,DRD Gold Ltd,Basic Materials,R49.57,25,48,5,12,13,35.93%,101.28%,67.71%,195.30%
