Ticker,Value Score,Value Rank,Momentum Score,Momentum Rank
ABG.JO,0.38548387096774195,43,0.5766129032258064,47
ADH.JO,0.4967741935483871,69,0.470766129032258,70
AEL.JO,0.3056451612903226,25,0.28629032258064513,98
AFE.JO,0.2620967741935484,20,0.26411290322580644,101
AFH.JO,0.3991935483870968,45,0.29637096774193544,97
AFT.JO,0.4766129032258064,67,0.2762096774193548,99
AGL.JO,0.8024193548387096,108,0.8548387096774194,11
AHR.JO,0.8532258064516128,116,0.41330645161290325,78
AIP.JO,0.37016129032258066,39,0.6975806451612903,29
ANG.JO,0.8548387096774193,118,0.969758064516129,4
ANH.JO,0.7846774193548386,103,0.1532258064516129,115
APN.JO,0.4379032258064516,54,0.056451612903225805,122
ARI.JO,0.4750000000000001,66,0.4657258064516129,72
ARL.JO,0.3516129032258064,33,0.7762096774193548,18
ATT.JO,0.4080645161290322,46,0.6703629032258064,33
AVI.JO,0.5177419354838709,75,0.5544354838709677,51
BAW.JO,0.3588709677419355,36,0.6471774193548386,40
BHG.JO,0.7879032258064516,104,0.4818548387096774,66
BID.JO,0.46209677419354833,63,0.30645161290322576,95
BLU.JO,0.3629032258064516,37,0.7399193548387097,24
BOX.JO,0.5314516129032258,77,0.5544354838709676,53
BTI.JO,0.8604838709677418,119,0.5544354838709677,51
BTN.JO,0.5282258064516129,76,0.3356854838709677,89
BVT.JO,0.37499999999999994,40,0.2318548387096774,105
BYI.JO,0.882258064516129,122,0.2620967741935484,102
CFR.JO,0.9153225806451613,124,0.6451612903225805,41
CLS.JO,0.6645161290322579,86,0.314516129032258,93
CML.JO,0.4620967741935484,64,0.7560483870967741,22
COH.JO,0.4612903225806451,61,0.7056451612903225,27
CPI.JO,0.7637096774193548,100,0.5241935483870968,59
CSB.JO,0.2451612903225806,16,0.19959677419354838,109
DCP.JO,0.5435483870967742,78,0.43951612903225806,74
DRD.JO,0.5588709677419355,81,0.9858870967741935,2
DSY.JO,0.31612903225806444,28,0.3165322580645161,92
DTC.JO,0.7354838709677419,98,0.501008064516129,61
EMI.JO,0.3508064516129032,32,0.8286290322580644,15
EQU.JO,0.5483870967741936,80,0.6532258064516128,39
EXX.JO,0.1443548387096774,4,0.4818548387096774,66
FBR.JO,0.3306451612903226,30,0.1310483870967742,118
